,,,Current review,No prior reviews
Study,Year,PMID,       ,
Freund (non-ICU),2017,28114554,Yes,
Freund (non-ICU),2017,28114554,Yes,
Raith,2017,28114553,"No, published data not extractable",
April (ICU),2016,27823893,Yes,
April (ICU),2016,27823893,Yes,
Williams (non-ICU),2016,27876592,Yes,
Williams (non-ICU),2016,27876592,Yes,
Giamarellos-Bourboulis,2016,27856268,"No, all patients SIRS positive",
Churpek (non-ICU),2016,27649072,Yes,
Churpek (non-ICU),2016,27649072,Yes,
Seymour (ICU),2016,26903335,Yes,
Seymour (non-ICU),2016,26903335,Yes,
Seymour (ICU),2016,26903335,Yes,
Seymour (non-ICU),2016,26903335,Yes,
Kaukonen (ICU),2015,25776936,Yes,
